Interval=	0,001 s
ExcelDateTime=	4,6092614496418428e+004	11.03.2026 14:44:52,490552
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 3	Channel 4
Range=	5,000 mV	5,000 mV
0,747	-0,02265625	-0,07523017
0,748	-0,02632813	-0,07696064
0,749	-0,0628125	-0,07819835
0,75	-0,08992187	-0,07891811
0,751	-0,09933594	-0,0791325
0,752	-0,1237109	-0,07885616
0,753	-0,1354688	-0,07810935
0,754	-0,1041016	-0,07691822
0,755	-0,08058594	-0,07531657
0,756	-0,09730469	-0,07336602
0,757	-0,100625	-0,07107397
0,758	-0,06011719	-0,06853436
0,759	-0,02496094	-0,06581958
0,76	-0,02628906	-0,06299831
0,761	-0,04179688	-0,06013716
0,762	-0,03769531	-0,05730329
0,763	-0,04039062	-0,05458175
0,764	-0,07199219	-0,0520006
0,765	-0,0803125	-0,04964755
0,766	-0,06511719	-0,04758288
0,767	-0,06140625	-0,04585476
0,768	-0,05351563	-0,04450012
0,769	-0,02703125	-0,04354574
0,77	-0,01640625	-0,04300605
0,771	-0,02285156	-0,0428974
0,772	-0,01652344	-0,04321516
0,773	-0,0446875	-0,04394655
0,774	-0,09175781	-0,04506736
0,775	-0,08230469	-0,04654092
0,776	-0,06015625	-0,04831723
0,777	-0,055	-0,05030995
0,778	-0,02875	-0,05251878
0,779	-0,01300781	-0,05485209
0,78	-0,03390625	-0,05724132
0,781	-0,04824219	-0,05961637
0,782	-0,05804687	-0,06190303
0,783	-0,08027344	-0,06402143
0,784	-0,07773438	-0,06585286
0,785	-0,05148437	-0,0674263
0,786	-0,04054688	-0,06865558
0,787	-0,05570312	-0,06949767
0,788	-0,09554688	-0,06991594
0,789	-0,1351563	-0,06987686
0,79	-0,1478125	-0,06934904
0,791	-0,1328516	-0,06826976
0,792	-0,08191406	-0,06674165
0,793	-0,01367188	-0,06475545
0,794	0,01453125	-0,06234241
0,795	-0,005820313	-0,05953601
0,796	-0,01847656	-0,05636913
0,797	-0,002226563	-0,05287381
